,TMC,Severity,Distance(mi),Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
1869063,201.0,2,0.0,70.0,68.0,29.91,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,1,0
293108,229.0,3,0.0,96.8,39.0,29.95,13.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
631206,201.0,2,0.0,51.0,73.0,29.15,7.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304920,201.0,3,0.0,25.0,58.0,30.45,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1624346,241.0,3,0.0,77.0,88.0,30.26,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1017415,241.0,2,0.0,77.0,82.0,29.09,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2047635,201.0,2,0.569999992847,27.0,69.0,29.72,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
1037924,241.0,3,0.0,82.0,76.0,29.44,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226472,201.0,3,0.0,85.0,40.0,29.63,10.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149161,201.0,3,0.0,37.4,60.0,30.2,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,1
535478,241.0,2,0.0,84.0,43.0,30.03,10.0,22.0,0,0,1,0,0,0,0,0,0,0,0,1,0
760833,203.0,3,0.0,47.0,56.0,29.28,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109198,241.0,3,0.0,30.0,91.0,29.76,1.6,13.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2203689,201.0,3,0.0,37.9,68.0,29.88,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1072120,201.0,2,0.0,86.0,45.0,27.18,10.0,7.0,0,0,1,0,0,0,0,0,0,0,0,1,0
534356,201.0,3,0.0,71.0,45.0,30.19,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510312,201.0,3,0.0,64.4,73.0,29.96,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
265020,222.0,2,0.01,71.1,100.0,29.86,6.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
2000053,201.0,2,7.48999977112,30.0,66.0,29.63,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1294787,201.0,2,0.0,64.0,100.0,29.96,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1
1156976,201.0,2,0.0,64.0,90.0,29.25,3.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
902672,241.0,2,0.0,63.0,45.0,29.47,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303003,201.0,2,0.0,46.9,61.0,30.06,10.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0
1103190,201.0,2,0.0,66.0,94.0,28.43,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,1,1
23821,201.0,3,0.0,57.9,81.0,29.93,10.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,1
1221918,241.0,2,0.0,64.0,65.0,29.97,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636219,201.0,3,0.0,75.0,41.0,30.27,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
725940,201.0,2,0.0,49.0,90.0,30.21,1.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357574,201.0,3,0.0,59.0,90.0,29.86,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
365234,201.0,2,0.01,60.1,78.0,29.62,6.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,1
2421052,201.0,2,0.0,77.0,94.0,30.05,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
824250,241.0,2,0.0,42.0,82.0,28.95,10.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,1
392858,201.0,2,0.0,75.9,76.0,29.93,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012314,201.0,2,0.0,57.9,62.0,29.96,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
669358,201.0,2,0.0,25.0,58.0,29.98,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1241028,241.0,2,0.0,88.0,49.0,29.95,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,1,0
995887,201.0,3,0.0,73.0,87.0,29.77,8.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2115526,201.0,2,0.0,46.0,100.0,29.97,10.0,4.6,1,0,0,0,0,0,0,0,0,0,0,1,1
630980,201.0,2,0.0,72.0,71.0,29.46,10.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377164,201.0,2,0.0,72.0,21.0,29.99,10.0,4.6,0,0,1,0,0,0,0,0,0,0,0,1,0
200713,201.0,3,0.01,41.0,93.0,29.91,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2373049,222.0,2,0.0,60.1,90.0,29.91,5.0,5.8,0,0,1,0,0,0,0,0,0,0,0,1,0
919024,241.0,2,0.0,59.0,96.0,29.06,8.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084603,201.0,3,0.0,71.6,22.0,30.09,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
603811,201.0,2,0.0,68.0,88.0,30.09,6.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1684278,201.0,2,0.0,62.1,80.0,30.03,10.0,5.8,1,0,0,0,0,0,0,0,1,0,0,1,1
2202853,201.0,2,0.0,62.6,82.0,30.19,9.0,4.6,0,0,1,0,0,0,0,0,0,0,0,1,0
1377646,201.0,2,0.0,60.1,55.0,30.09,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1622832,201.0,3,0.0,84.2,51.0,30.19,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
431287,201.0,2,0.01,78.1,66.0,29.95,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1456684,201.0,3,0.0,50.0,36.0,30.26,10.0,8.1,0,0,0,0,1,0,0,0,0,0,0,0,0
1314216,201.0,2,0.0,77.0,39.0,30.04,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
80961,201.0,3,0.0,66.0,78.0,29.95,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1
2416049,201.0,3,0.0,84.0,56.0,30.02,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
52122,201.0,3,0.0,79.0,58.0,29.86,10.0,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0
445286,201.0,2,0.41999998688699997,60.1,86.0,29.72,5.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1239155,201.0,3,1.67999994755,52.0,54.0,28.87,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
418471,201.0,2,0.0,61.0,39.0,30.25,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2364089,201.0,3,0.0,79.0,56.0,30.21,10.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
83998,201.0,2,0.01,73.9,55.0,29.93,7.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
1796317,241.0,3,0.0,80.1,64.0,29.91,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
87576,201.0,3,0.0,75.0,64.0,29.78,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
948976,201.0,2,0.0,79.0,34.0,28.95,20.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2335514,201.0,2,0.0,41.0,86.0,29.95,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1
392105,201.0,2,0.01,84.0,34.0,30.0,10.0,13.8,0,0,1,0,0,0,0,0,0,0,0,1,0
2159822,201.0,2,0.0,78.1,9.0,30.1,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1079988,201.0,2,0.509999990463,83.0,82.0,29.96,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1996736,201.0,2,0.0,46.0,56.0,30.22,10.0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,1
461899,201.0,2,0.0,77.0,60.0,29.84,10.0,3.5,1,0,0,0,0,0,0,0,0,0,0,1,0
1054157,201.0,3,0.0,90.0,34.0,29.98,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
930500,201.0,2,0.0,46.0,71.0,29.55,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
208947,241.0,2,0.0,73.9,71.0,30.14,10.0,5.8,0,0,0,0,1,0,0,0,0,0,0,0,0
842804,201.0,3,0.0,78.0,13.0,29.64,10.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0
770113,201.0,3,0.0,47.0,97.0,28.91,3.0,9.0,0,0,1,0,1,0,0,0,0,0,0,0,1
834384,343.0,3,1.94000005722,38.0,33.0,24.06,10.0,14.0,0,0,0,0,1,0,0,0,0,0,0,0,1
2402460,201.0,2,0.0,73.9,87.0,29.87,10.0,15.0,0,0,1,0,0,0,0,0,0,0,0,1,0
1182486,201.0,3,0.0,54.0,57.0,29.39,10.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,1
1049227,201.0,2,0.0,85.0,60.0,29.35,10.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070877,201.0,2,0.0,82.0,65.0,30.09,10.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0
865686,201.0,2,0.0,82.0,54.0,29.52,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
112314,201.0,2,0.0,89.1,25.0,29.78,10.0,11.5,0,0,0,0,0,0,0,0,0,1,0,0,0
1973294,201.0,3,0.0,60.1,75.0,30.01,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
675347,201.0,3,0.0,45.0,86.0,29.07,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
561092,201.0,2,0.0,88.0,64.0,28.41,10.0,18.0,0,0,0,0,0,0,0,0,0,0,0,1,0
757955,201.0,3,1.12999999523,68.0,28.0,29.43,10.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
73673,201.0,2,0.01,57.9,90.0,29.94,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
532786,201.0,2,0.0,54.0,37.0,29.92,10.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
786285,201.0,2,0.0,37.0,100.0,30.27,0.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1836862,201.0,2,0.0,82.0,71.0,29.99,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1769303,201.0,2,0.0,90.0,52.0,30.01,10.0,9.2,0,0,1,0,0,0,0,0,0,1,0,0,0
1458207,201.0,2,0.0,30.9,92.0,30.14,5.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
96506,201.0,3,0.0,68.0,73.0,30.01,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
476291,201.0,3,0.0,93.9,31.0,29.84,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2398737,201.0,2,0.0,79.0,72.0,29.99,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
729015,201.0,2,0.0,54.0,51.0,29.52,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439621,201.0,3,0.0,39.9,68.0,30.19,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1
325508,201.0,2,0.0,16.0,62.0,30.34,10.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,1
2221511,241.0,3,0.0,30.9,32.0,30.29,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1224879,201.0,3,0.360000014305,60.0,51.0,29.39,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
444678,201.0,2,0.019999999553,59.0,75.0,29.88,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
808248,201.0,3,0.0,54.0,72.0,30.18,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1787194,201.0,2,0.0,82.9,69.0,29.93,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
806821,201.0,3,0.0,72.0,100.0,29.93,4.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458185,201.0,2,0.0,73.0,79.0,29.91,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,1
621544,201.0,3,0.6899999976160001,54.0,80.0,29.93,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
501639,201.0,3,0.0,70.0,78.0,30.05,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
800097,201.0,2,0.0,51.0,68.0,29.4,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
663642,201.0,2,0.0,24.0,50.0,30.26,10.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
759743,201.0,3,0.0,56.0,93.0,29.97,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2453673,201.0,2,0.0,102.0,9.0,29.82,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
783262,241.0,2,0.0,47.0,39.0,29.65,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0
398919,201.0,3,0.01,57.0,77.0,30.05,10.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,1
1193893,201.0,2,0.0,80.0,14.0,28.59,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
140238,201.0,3,0.0,78.1,90.0,30.06,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1976884,201.0,2,0.0,72.0,55.0,29.87,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
924254,241.0,2,0.0,61.0,88.0,29.14,2.0,12.0,1,0,1,0,0,0,0,0,0,0,0,1,0
918406,201.0,2,0.0,46.0,87.0,28.57,2.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049293,201.0,2,0.0,76.0,54.0,28.87,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
496993,201.0,3,0.0,78.1,60.0,29.98,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1333648,201.0,4,0.0,77.0,54.0,30.19,10.0,9.2,0,0,1,0,0,0,1,0,0,0,0,0,0
236168,201.0,2,0.01,44.6,93.0,30.05,2.0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,0
626433,201.0,2,0.0,67.0,40.0,29.24,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1136293,201.0,2,0.0,65.0,81.0,29.73,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
997529,201.0,2,0.0,61.0,90.0,28.84,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1114181,201.0,2,0.0,89.0,39.0,29.92,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0
479553,201.0,3,0.0,71.1,100.0,29.72,6.0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0
997839,241.0,3,0.0,70.0,78.0,29.38,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284870,201.0,3,0.0,41.0,87.0,29.88,20.0,8.1,0,0,0,0,0,0,0,0,0,0,0,1,0
908980,201.0,2,0.0,30.0,100.0,28.8,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600384,201.0,2,0.0,57.0,45.0,30.26,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
336169,241.0,2,0.01,37.9,93.0,30.05,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,1,1
1969428,201.0,2,0.0,62.1,26.0,30.1,10.0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0
1973808,245.0,2,0.0,64.0,45.0,29.96,10.0,6.9,0,0,0,0,0,0,0,0,1,0,0,1,0
2389,201.0,3,0.0,75.9,46.0,29.93,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1877151,201.0,3,0.0,55.9,84.0,30.08,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1282673,201.0,3,0.0,57.9,35.0,30.26,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1
1007936,201.0,2,0.0,84.0,51.0,29.87,10.0,7.0,0,0,0,0,0,0,0,0,1,0,0,1,0
1934620,241.0,2,0.0,69.1,61.0,30.01,5.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2378351,201.0,2,13.2299995422,69.8,20.0,30.08,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
549297,201.0,3,0.0,82.0,60.0,29.94,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
235428,201.0,2,0.01,45.0,80.0,30.29,9.0,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0
1562461,201.0,2,0.0,81.0,54.0,29.83,10.0,10.4,0,0,1,0,0,0,0,0,0,0,0,1,1
1929108,201.0,2,0.0,63.0,24.0,29.78,10.0,8.1,0,0,1,0,0,0,1,0,0,0,0,1,0
1469356,201.0,3,0.0,44.1,53.0,30.19,10.0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,0
2399937,241.0,3,0.0,86.0,63.0,29.81,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1614023,201.0,2,0.0,78.1,58.0,29.96,9.0,4.6,0,0,0,0,1,0,0,0,0,0,0,0,0
1997747,241.0,2,0.0,64.4,94.0,29.88,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,1
789590,201.0,2,0.0,36.0,62.0,29.67,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1137612,201.0,2,0.0,85.0,61.0,28.62,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
497558,201.0,3,0.409999996424,79.0,60.0,29.91,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1048219,241.0,3,0.0,73.0,71.0,29.86,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
995211,201.0,3,0.0,69.0,61.0,28.93,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
914176,201.0,2,0.0,54.0,90.0,29.07,7.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
319369,241.0,3,0.01,61.0,90.0,30.07,6.0,5.8,0,0,0,0,0,0,1,0,1,0,0,0,0
1325432,201.0,2,0.0,46.0,44.0,30.27,9.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2006646,201.0,2,0.0,60.1,83.0,30.11,8.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,1
2470242,244.0,3,0.0,80.2,48.0,30.17,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1602447,201.0,3,0.0,57.0,77.0,29.9,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
98945,201.0,3,0.0,66.0,54.0,30.02,7.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
2222548,201.0,2,0.0,35.1,76.0,30.4,10.0,5.8,0,0,1,0,0,0,1,0,0,0,0,0,1
372813,201.0,2,0.01,37.9,29.0,30.24,10.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0
304697,201.0,2,0.0,86.0,70.0,30.17,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1083481,201.0,2,0.0,89.0,53.0,29.15,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2114938,201.0,3,0.0,53.6,35.0,30.24,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,1
1941343,201.0,3,0.0,37.9,83.0,30.17,4.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
576976,201.0,2,0.0,75.0,69.0,29.27,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0
185396,201.0,3,0.01,51.3,51.0,29.93,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1
1327218,201.0,3,0.0,63.0,60.0,29.87,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
770013,201.0,2,0.0,14.0,84.0,28.59,1.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1
849092,201.0,2,0.0,39.0,33.0,25.63,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1
990440,241.0,2,0.0,93.0,29.0,29.64,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0
970787,201.0,2,0.0,69.0,68.0,29.87,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1803392,201.0,3,0.9900000095370001,85.0,76.0,29.97,10.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1072572,201.0,2,0.0,75.0,82.0,29.11,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
681053,201.0,2,0.0,57.0,67.0,30.29,10.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1071694,201.0,2,0.0,86.0,67.0,29.93,10.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158150,201.0,2,0.6100000143050001,60.0,78.0,29.85,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
568437,241.0,2,0.0,88.0,65.0,29.97,10.0,14.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1339746,201.0,3,0.0,44.1,65.0,30.47,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2131509,201.0,3,0.0,1.0,57.0,30.77,10.0,3.5,0,0,1,0,0,0,0,0,0,0,0,1,0
382519,203.0,3,0.01,34.0,61.0,30.19,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,1
344975,201.0,3,0.01,57.2,67.0,30.04,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,1
2043482,201.0,2,0.0,75.0,10.0,29.85,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2239187,241.0,3,0.0,39.0,57.0,30.35,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
607299,201.0,2,0.0,29.0,89.0,29.18,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
2410476,201.0,2,0.0,73.0,71.0,29.9,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1352310,201.0,2,0.0,55.9,33.0,29.96,10.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1223565,201.0,2,0.0,85.0,28.0,28.39,10.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
926104,201.0,2,0.0,46.0,93.0,23.94,3.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0
1519300,201.0,2,0.0,84.2,66.0,30.02,10.0,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0
253535,201.0,2,0.0,89.1,45.0,29.91,10.0,5.8,0,0,1,0,0,0,0,0,0,0,0,1,0
146931,201.0,3,0.01,42.1,79.0,30.19,10.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2151864,203.0,2,1.67999994755,24.1,71.0,30.51,6.0,3.5,0,0,1,0,0,0,0,0,0,0,0,1,0
1909747,201.0,2,0.14000000059599998,60.1,80.0,29.98,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1286394,201.0,3,0.0,66.9,15.0,30.13,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,1
2354610,229.0,2,0.0,62.6,100.0,29.89,7.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1267822,201.0,2,0.0,42.8,93.0,30.1,10.0,11.5,0,0,0,0,0,0,0,0,0,0,0,1,0
2433237,201.0,3,0.0,78.8,94.0,30.11,1.8,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2357458,201.0,2,0.0,62.1,70.0,29.87,10.0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1485365,201.0,2,0.0,59.7,100.0,30.07,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
1770125,201.0,3,0.0,71.1,78.0,30.02,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
741784,241.0,2,0.0,72.0,76.0,29.94,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1581378,201.0,3,0.0,46.0,68.0,30.06,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1768885,201.0,3,0.0,81.0,79.0,30.21,10.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
929023,203.0,3,0.0,48.0,76.0,29.87,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2371734,241.0,2,0.0,64.4,77.0,29.86,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
1661124,201.0,2,0.0,63.0,56.0,29.84,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1
971483,241.0,2,0.0,74.0,91.0,29.48,2.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1486285,201.0,2,0.0,39.9,86.0,30.37,10.0,5.8,1,0,1,0,0,0,0,0,0,0,0,1,1
753485,201.0,3,0.0,45.0,97.0,29.93,2.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1628296,201.0,2,1.78999996185,69.1,100.0,30.02,2.0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2130328,201.0,2,0.0,30.0,38.0,30.38,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2384202,201.0,3,0.0,70.0,78.0,29.9,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1070819,201.0,2,0.0,68.0,88.0,29.12,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114823,201.0,3,0.0,56.0,100.0,28.65,9.0,7.0,0,0,0,0,1,0,0,0,0,0,0,0,1
1717201,201.0,2,0.0,86.7,50.0,29.95,10.0,8.1,0,0,1,0,0,0,0,0,0,0,0,1,1
919736,201.0,3,0.0,74.0,73.0,29.59,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
1837016,241.0,2,0.0,93.9,43.0,29.98,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,1,0
2423229,201.0,3,0.0,93.0,54.0,30.09,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1464792,241.0,2,0.0,57.0,81.0,29.89,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,1
1518848,201.0,2,0.0,36.0,59.0,30.35,10.0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2047597,201.0,2,0.0,53.1,26.0,30.19,10.0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1797309,201.0,2,0.0,73.4,94.0,30.12,10.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0
939433,201.0,3,0.0,72.0,73.0,29.49,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
614495,201.0,2,0.0,75.0,51.0,30.01,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,1
1386965,201.0,3,0.0,61.0,44.0,30.12,10.0,8.1,0,0,0,0,1,0,0,0,0,0,0,0,0
1114392,201.0,2,0.0,67.0,61.0,29.97,10.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
214939,236.0,3,0.0,64.4,77.0,30.15,10.0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0
612256,201.0,3,0.0,59.0,93.0,29.89,4.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088035,201.0,2,0.0,73.0,100.0,29.25,8.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
117640,201.0,2,0.01,69.1,100.0,30.12,1.5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
